case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-00238,OFF-00070,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Raichur,Old Town,Weekday mornings,SMS phishing link,SMS phishing link; target: First-time UPI user; weekday mornings,2023-10-04,Linked to known offender record,26-35,F,2,Repeat,Alternates between two known methods
CASE-00904,OFF-00285,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Hassan,Bus Stand area,Evening rush (6-8 PM),SMS phishing link,SMS phishing link; target: Elderly account holder; evening rush (6-8 pm),2023-08-28,Linked to known offender record,26-35,F,5,Repeat,Escalating frequency over last 6 months
CASE-00344,OFF-00111,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Mandya,Bannur Road area,Late night (11 PM-2 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; late night (11 pm-2 am),2023-11-28,Linked to known offender record,26-35,M,5,Repeat,Consistent MO across all recorded cases
CASE-01425,OFF-00435,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Koppal,Old Town,Weekday mornings,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; weekday mornings",2023-10-15,Linked to known offender record,26-35,M,6,Repeat,Alternates between two known methods
CASE-01287,OFF-00388,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Bagalkot,Navanagar,Midday (12-3 PM),"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; midday (12-3 pm)",2025-11-25,Linked to known offender record,18-25,M,3,Repeat,Consistent MO across all recorded cases
CASE-01750,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Shivamogga,Vinoba Nagar,Late night (11 PM-2 AM),"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; late night (11 pm-2 am)",2023-12-30,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01342,OFF-00407,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Bengaluru Urban,Koramangala,Weekday mornings,Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; weekday mornings,2025-04-02,Linked to known offender record,26-35,F,3,Repeat,Single recorded case - insufficient pattern history
CASE-00430,OFF-00138,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Koppal,Gangavathi Road area,Weekday mornings,Relay key attack,Relay key attack; target: Parked vehicle - street; weekday mornings,2024-09-02,Linked to known offender record,46-55,F,6,Repeat,Single recorded case - insufficient pattern history
CASE-01555,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Chamarajanagar,Town Centre,Early morning (4-7 AM),Window grille cutting,Window grille cutting; target: Vacant residence; early morning (4-7 am),2024-06-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00378,OFF-00121,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Yadgir,Station Road area,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2025-03-23,Linked to known offender record,26-35,F,4,Repeat,Alternates between two known methods
CASE-01339,OFF-00404,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Uttara Kannada,Karwar town,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2023-05-29,Linked to known offender record,36-45,M,3,Repeat,Escalating frequency over last 6 months
CASE-01931,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Mysuru,Jayalakshmipuram,Weekday mornings,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; weekday mornings,2023-08-20,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00956,OFF-00298,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Mangaluru (Dakshina Kannada),Hampankatta,Midday (12-3 PM),SMS phishing link,SMS phishing link; target: Elderly account holder; midday (12-3 pm),2024-01-29,Linked to known offender record,46-55,M,4,Repeat,Alternates between two known methods
CASE-00854,OFF-00269,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Uttara Kannada,Kumta town,Early morning (4-7 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; early morning (4-7 am)",2025-10-07,Linked to known offender record,36-45,F,3,Repeat,Long gap then resurgence with same MO
CASE-00464,OFF-00148,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Ramanagara,Bengaluru-Mysuru Highway area,Weekday mornings,Relay key attack,Relay key attack; target: Parked vehicle - street; weekday mornings,2024-03-17,Linked to known offender record,18-25,M,5,Repeat,Long gap then resurgence with same MO
CASE-00795,OFF-00247,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bidar,Chidri,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; early morning (4-7 am),2025-09-27,Linked to known offender record,56+,M,1,First recorded instance,Escalating frequency over last 6 months
CASE-00155,OFF-00046,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mandya,Bannur Road area,Weekday mornings,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; weekday mornings,2025-08-27,Linked to known offender record,56+,M,4,Repeat,Long gap then resurgence with same MO
CASE-00922,OFF-00289,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Tumakuru,SS Puram,Weekday mornings,Window grille cutting,Window grille cutting; target: Vacant residence; weekday mornings,2025-11-12,Linked to known offender record,26-35,M,6,Repeat,Alternates between two known methods
CASE-01635,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Vijayapura,Station Area,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2023-03-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01071,OFF-00327,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ballari,Cowl Bazaar,Late night (11 PM-2 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2023-04-09,Linked to known offender record,26-35,F,6,Repeat,Single recorded case - insufficient pattern history
CASE-00357,OFF-00115,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bagalkot,Old Bagalkot,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2025-01-17,Linked to known offender record,46-55,M,1,First recorded instance,Single recorded case - insufficient pattern history
CASE-00165,OFF-00048,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Ballari,Gandhinagar,Weekday mornings,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; weekday mornings,2023-01-13,Linked to known offender record,46-55,F,4,Repeat,Alternates between two known methods
CASE-01149,OFF-00349,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mysuru,Saraswathipuram,Midday (12-3 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; midday (12-3 pm),2024-05-03,Linked to known offender record,46-55,F,4,Repeat,Consistent MO across all recorded cases
CASE-00883,OFF-00280,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Hubballi-Dharwad,Keshwapur,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; early morning (4-7 am),2024-01-17,Linked to known offender record,36-45,M,4,Repeat,Long gap then resurgence with same MO
CASE-01471,OFF-00447,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Udupi,Kunjibettu,Evening rush (6-8 PM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; evening rush (6-8 pm),2025-06-01,Linked to known offender record,56+,F,2,Repeat,Alternates between two known methods
CASE-01623,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Ramanagara,Town Centre,Weekday mornings,SMS phishing link,SMS phishing link; target: Elderly account holder; weekday mornings,2025-10-12,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01154,OFF-00350,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Mandya,Ashok Nagar,Midday (12-3 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; midday (12-3 pm),2024-02-24,Linked to known offender record,56+,M,6,Repeat,Alternates between two known methods
CASE-01749,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Yadgir,Station Road area,Weekday mornings,SMS phishing link,SMS phishing link; target: First-time UPI user; weekday mornings,2025-02-08,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01334,OFF-00403,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mangaluru (Dakshina Kannada),Mangaladevi,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2025-05-23,Linked to known offender record,36-45,M,5,Repeat,Escalating frequency over last 6 months
CASE-01956,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Hassan,Race Course Road area,Early morning (4-7 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; early morning (4-7 am),2023-11-14,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01265,OFF-00382,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Koppal,Gangavathi Road area,Early morning (4-7 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; early morning (4-7 am),2025-06-10,Linked to known offender record,26-35,F,3,Repeat,Consistent MO across all recorded cases
CASE-01587,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Haveri,Bypass Road area,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2024-05-27,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01784,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Chitradurga,College Road area,Weekday mornings,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; weekday mornings,2023-02-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01338,OFF-00404,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Uttara Kannada,Sirsi town,Midday (12-3 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; midday (12-3 pm),2023-12-09,Linked to known offender record,36-45,M,3,Repeat,Escalating frequency over last 6 months
CASE-01809,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Ramanagara,Town Centre,Evening rush (6-8 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; evening rush (6-8 pm),2025-01-12,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00935,OFF-00293,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Hassan,Vidyanagar,Evening rush (6-8 PM),SMS phishing link,SMS phishing link; target: Elderly account holder; evening rush (6-8 pm),2024-02-04,Linked to known offender record,56+,F,6,Repeat,Consistent MO across all recorded cases
CASE-00106,OFF-00031,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Kodagu,Virajpet town,Midday (12-3 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; midday (12-3 pm),2025-01-13,Linked to known offender record,18-25,M,5,Repeat,Escalating frequency over last 6 months
CASE-01505,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Kalaburagi,Station Road area,Evening rush (6-8 PM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; evening rush (6-8 pm),2024-09-27,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00143,OFF-00041,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Bidar,New Bidar,Early morning (4-7 AM),SMS phishing link,SMS phishing link; target: First-time UPI user; early morning (4-7 am),2023-03-09,Linked to known offender record,26-35,F,5,Repeat,Escalating frequency over last 6 months
CASE-01630,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Vijayapura,Station Area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; evening rush (6-8 pm),2024-12-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00453,OFF-00146,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Bengaluru Urban,Banashankari,Weekday mornings,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekday mornings,2024-03-08,Linked to known offender record,18-25,M,6,Repeat,Escalating frequency over last 6 months
CASE-01384,OFF-00423,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Bagalkot,Navanagar,Evening rush (6-8 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; evening rush (6-8 pm),2025-05-24,Linked to known offender record,36-45,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-00157,OFF-00046,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Mandya,Vidyanagar,Weekday mornings,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; weekday mornings,2024-10-21,Linked to known offender record,56+,M,4,Repeat,Long gap then resurgence with same MO
CASE-00403,OFF-00130,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Ballari,Bruce Pet,Evening rush (6-8 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; evening rush (6-8 pm),2023-02-22,Linked to known offender record,56+,M,4,Repeat,Alternates between two known methods
CASE-00772,OFF-00241,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Kalaburagi,Sedam Road area,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; midday (12-3 pm),2024-10-21,Linked to known offender record,26-35,F,5,Repeat,Alternates between two known methods
CASE-00087,OFF-00026,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Kolar,Ambedkar Nagar,Late night (11 PM-2 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; late night (11 pm-2 am)",2025-11-21,Linked to known offender record,36-45,M,2,Repeat,Alternates between two known methods
CASE-00188,OFF-00053,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bagalkot,Navanagar,Evening rush (6-8 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; evening rush (6-8 pm),2023-03-14,Linked to known offender record,46-55,M,5,Repeat,Escalating frequency over last 6 months
